Designator,Mid X,Mid Y,Layer,Rotation
BT1,152.40,-96.52,T,90.00
C1,147.57,-94.55,T,90.00
Cbat1,132.84,-92.94,T,270.00
Cin1,132.84,-101.07,T,270.00
Cout1,130.30,-97.03,T,270.00
Cout2,132.84,-97.03,T,270.00
Cusb1,129.54,-92.94,T,90.00
J0,123.70,-95.50,T,270.00
J1,121.92,-104.14,T,0.00
J2,121.92,-86.36,T,0.00
J3,154.94,-104.14,T,0.00
J4,154.94,-86.36,T,0.00
L1,138.71,-101.85,T,0.00
LED1,144.78,-86.61,T,270.00
LED2,142.49,-86.61,T,90.00
LED3,140.21,-86.61,T,270.00
LED4,137.92,-86.61,T,90.00
R1,135.51,-86.61,T,90.00
R2,146.56,-91.51,T,0.00
RN1,140.53,-90.31,T,90.00
RN2,125.66,-88.00,T,90.00
SW1,129.54,-86.36,T,90.00
U1,137.86,-95.18,T,180.00
U2,144.40,-94.30,T,0.00
